kategoria,nazwa,adres,teryt_gmina
przedszkole,PRZEDSZKOLE MIEJSKIE Z ODDZIAŁAMI INTEGRACYJNYMI NR 28 W GLIWICACH,"Ignacego Paderewskiego 70, 44-105 Gliwice",2466011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 43 W KIELCACH,"Astronautów 5, 25-337 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 5 IM. KRASNALA HAŁABAŁY W TOMASZOWIE LUBELSKIM,"St. Moniuszki 51, 22-600 Tomaszów Lubelski",0618011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 13 IM. NATALII MACHAŁOWEJ W KIELCACH,"Karczówkowska 8, 25-019 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 29 W KIELCACH,"Tytusa Chałubińskiego 32, 25-619 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 30 W KIELCACH,"Wielkopolska 15, 25-327 Kielce",2661011
przedszkole,PRZEDSZKOLE SIÓSTR SALEZJANEK W KIELCACH,"Chęcińska 3, 25-020 Kielce",2661011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 36 W GLIWICACH,"Sztabu Powstańczego 56c, 44-102 Gliwice",2466011
przedszkole,PUBLICZNE PRZEDSZKOLE W WILDZE,"Adama Mickiewicza 8, 08-470 Wilga",1403132
przedszkole,NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWO-ARTYSTYCZNE KRÓL MACIUŚ I,"Króla Zygmunta 61, 22-600 Tomaszów Lubelski",0618011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 14 W ZAMOŚCIU,"Olchowa 11, 22-400 Zamość",0664011
przedszkole,ZESPÓŁ SZKÓŁ PRZEDSZKOLE W PRZESMYKACH,"Narutowicza 18, 08-109 Przesmyki",1426072
przedszkole,"PRZEDSZKOLE 'SKARBY ŁĄKI"" W BĘDZINIE","Będzino 31, 76-037 Będzino",3209012
przedszkole,PRZEDSZKOLE PROMYKI BAŁTYKU W MŚCICACH,"Szkolna 1B, 76-031 Mścice",3209012
przedszkole,"PRZEDSZKOLE NIEPUBLICZNE ""BAJNINIO"" W LUBLINIE","Kasztelańska 31, 20-810 Lublin",0663011
przedszkole,"PRZEDSZKOLE NR 2 ""U JASIA I MAŁGOSI""","Harcerstwa Polskiego 6A, 88-100 Inowrocław",0407011
