kategoria,nazwa,adres,teryt_gmina
poz,Filia POZ w Raciborowicach Górnych przy Zespole Opieki Zdrowotnej w Bolesławcu,"Raciborowice Górne 194, 59-720 Raciborowice Górne",0201062
poz,Filia POZ w Warcie Bolesławieckiej przy Zespole Opieki Zdrowotnej w Bolesławcu,"Warta Bolesławiecka 29a, 59-720 Warta Bolesławiecka",0201062
poz,Filia POZ w Iwinach przy Zespole Opieki Zdrowotnej w Bolesławcu,"Iwiny-Osiedle 15, 59-720 Iwiny-Osiedle",0201062
poz,Filia POZ w Parowej przy Zespole Opieki Zdrowotnej w Bolesławcu,"Parowa 100, 59-723 Parowa",0201052
poz,Filia POZ w Świętoszowie przy Zespole Opieki Zdrowotnej w Bolesławcu,"Szkolna 13, 59-726 Świętoszów",0201052
poz,POZ w Osiecznicy przy Zespole Opieki Zdrowotnej w Bolesławcu,"Piaskowa 1A, 59-724 Osiecznica",0201052
poz,POZ w Iłowej przy Zespole Opieki Zdrowotnej w Bolesławcu,"Piaskowa 2B, 68-120 Iłowa",0810044
poz,Filia POZ Osiecznica w Lwówku Śląskim,"Jakuba Jaśkiewicza 20C, 59-600 Lwówek Śląski",0212034
poz,Niepubliczny Zakład Opieki Zdrowotnej MEDICUS Sp. z o.o. Filia Duszniki-Zdrój,"Sprzymierzonych 11, 57-340 Duszniki-Zdrój",0208011
poz,Niepubliczny Zakład Opieki Zdrowotnej MEDICUS Sp. z o.o.,"Lipowa 6, 57-320 Polanica-Zdrój",0208051
poz,Praktyka Lekarza Rodzinnego Krzysztof Piórkowski,"Wojska Polskiego 1, 57-320 Polanica-Zdrój",0208051
poz,Praktyka Lekarza Rodzinnego Filia w Ścinawce Dolnej,"Ścinawka Dolna 16, 57-409 Ścinawka Dolna",0208125
poz,Praktyka Lekarza Rodzinnego - Agata Sławin Sp. z o.o.,"Wrocławska 69, 55-093 Kiełczów",0223022
poz,"Praktyka Lekarza Rodzinnego - Agata Sławin Sp. z o.o., Filia w Pisarzowicach","Wrocławska 22, 55-330 Pisarzowice",0218035
poz,"Praktyka Lekarza Rodzinnego ""Na Ruminakowej"" Sp. z o.o.","Rumiankowa 53, 54-512 Wrocław",0264029
poz,"Niepubliczny Zakład Opieki Zdrowotnej Lekarska Praktyka Specjalistyczna ""Krio-Dent""","Bielawska 14A, 58-200 Dzierżoniów",0202021
poz,Przychodnia Rejonowa w Jaworze,"Józefa Piłsudskiego 10, 59-400 Jawor",0205011
poz,Centrum Hematologiczno-Transplantacyjne,"Grabiszyńska 105, 53-439 Wrocław",0264011
poz,Szpital Leśne,"Ksawerego Dunikowskiego 2-8, 55-120 Oborniki Śląskie",0220014
poz,Ośrodek Anestezjologii i Intensywnej Terapii,"Ludwika Hirszfelda 12, 53-413 Wrocław",0264011
poz,Zakład Diagnostyki Hematoonkologicznej,"gen. Augusta Emila Fieldorfa 6, 54-049 Wrocław",0264011
poz,Zakład Pielęgnacyjno-Opiekuńczy,"Trzebnicka 3, 56-120 Oborniki Śląskie",0220014
poz,Uzdrowiskowy Zakład Przyrodoleczniczy w Szczawnie-Zdroju,"Kolejowa 14, 58-310 Szczawno-Zdrój",0221031
poz,Uzdrowiskowy Zakład Przyrodoleczniczy w Jedlinie-Zdroju,"Zdrojowy 1, 58-330 Jedlina-Zdrój",0221021
poz,"Uzdrowiskowy Szpital Rehabilitacyjny / Szpital Rehabilitacji Kardiologicznej ""Teresa""","Zdrojowy 9, 58-330 Jedlina-Zdrój",0221021
poz,"Sanatorium Uzdrowiskowe ""Młynarz""","Wojska Polskiego 3, 58-310 Szczawno-Zdrój",0221031
poz,"Sanatorium Uzdrowiskowe  ""Cis""","Sienkiewicza 5, 58-310 Szczawno-Zdrój",0221031
poz,"Sanatorium Uzdrowiskowe ""Pionier""","Ignacego Potockiego 4, 58-310 Szczawno-Zdrój",0221031
poz,Sanatorium Uzdrowiskowe Mieszko,"Wojska Polskiego 4, 58-310 Szczawno-Zdrój",0221031
poz,Zakład Opiekuńczo-Leczniczy w Bystrzycy Kłodzkiej,"Stefana Okrzei 49, 57-500 Bystrzyca Kłodzka",0208064
poz,"""GRAVIT"" Zakład Usług Medycznych Niepubliczny Zakład Opieki Zdrowotnej","Tadeusza Kościuszki 8, 58-150 Strzegom",0219064
poz,Praktyka lekarza Rodzinnego Piotr Stankiewicz,"Jaszkowa Górna 109, 57-312 Jaszkowa Górna",0208072
poz,Spółka Cywilna Raczyńscy Halina Szymiec-Raczyńska Mariusz Raczyński Prywatna Specjalistyczna Przychodnia Lekarsko - Stomatologiczna,"Miernicza 5, 58-200 Dzierżoniów",0202021
poz,Niepubliczny Zakład Opieki Zdrowotnej Familia - Dent Sp. z o.o.,"Grunwaldzka 21, 50-355 Wrocław",0264069
poz,"NZOZ PRODENTICA S.C. ANNA MOSZCZYŃSKA, AGNIESZKA SMOLAKOWSKA","Żelazna 34, 54-238 Wrocław-Fabryczna",0264029
poz,Praktyka Lekarza Rodzinnego s.c. M. Kaniecka - Matuszkiewicz i E. Klimczak,"Sądowa 8, 50-046 Wrocław-Stare Miasto",0264059
poz,"Przychodnia ""HIPOKRATES"" Sp. z o.o.","Generała Władysława Sikorskiego 19, 67-200 Głogów",0203011
poz,Praktyka Lekarza Rodzinnego,"Mikołaja Sępa-Szarzyńskiego 30/3-4, 50-351 Wrocław-Śródmieście",0264069
poz,Przychodnia Specjalistyczna,"Mikołaja Sępa-Szarzyńskiego 30/1-2, 50-351 Wrocław-Śródmieście",0264069
poz,Praktyka Lekarza Rodzinnego,"Norberta Barlickiego 3-5, 55-080 Kąty Wrocławskie",0223044
