kategoria,nazwa,adres,teryt_gmina
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W SŁOTWINIE,"Księdza Ferdynanda Sznajdrowicza 11, 34-324 Słotwina",2417062
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W CZEPIELOWICACH,"Czepielowice 31, 49-314 Czepielowice",1601052
szkola,ZESPÓŁ SZKÓŁ NR 1 IM. KAROLA WOJTYŁY-JANA PAWŁA II W BRODNICY,"Matejki 7, 87-300 Brodnica",0402011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W STAREJ WSI,"Dolna 12, 43-330 Stara Wieś",2402095
szkola,POWIATOWY ZESPÓŁ NR 10 SZKÓŁ MECHANICZNO-ELEKTRYCZNYCH IM. MIKOŁAJA KOPERNIKA W KĘTACH,"Żwirki i Wigury 27a, 32-650 Kęty",1213044
szkola,ZESPÓŁ SZKÓŁ NR 1 IM MARSZAŁKA JÓZEFA KLEMENSA PIŁSUDSKIEGO W BIELSKU PODLASKIM,"Szkolna 12, 17-100 Bielsk Podlaski",2003011
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I ZAWODOWYCH IM. MJRA H. SUCHARSKIEGO W BOLESŁAWCU,"Komuny Paryskiej 6, 59-700 Bolesławiec",0201011
szkola,ZESPÓŁ SZKÓŁ W RADOMINIE,"Radomin 14, 87-404 Radomin",0405052
szkola,ZESPÓŁ SZKÓŁ W GŁOGÓWKU,"Powstańców 34, 48-250 Głogówek",1610024
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 W PRUDNIKU,"Gimnazjalna 2, 48-200 Prudnik",1610044
szkola,ZESPÓŁ SZKÓŁ ROLNICZYCH W PRUDNIKU,"Kościuszki 76, 48-200 Prudnik",1610044
szkola,ZESPÓŁ SZKOLNO-REWALIDACYJNY SZKOŁA ŻYCIA W RYBNIKU,"Orzepowicka 15a, 44-217 Rybnik",2473011
szkola,ZESPÓŁ SZKÓŁ W DRAWSKU POMORSKIM,"Połczyńska 7, 78-500 Drawsko Pomorskie",3203024
szkola,ZESPÓŁ SZKÓŁ EKONOMICZNYCH W BRZEGU,"Jana Pawła II 28, 49-300 Brzeg",1601011
szkola,ZESPÓŁ SZKÓŁ W STRZELNIE,"Gimnazjalna 7, 88-320 Strzelno",0409044
szkola,ZESPÓŁ KSZTAŁCENIA I WYCHOWANIA W BIELKÓWKU,"Brunona Gregorkiewicza 11, 83-050 Bielkówko",2204032
szkola,ZESPÓŁ SZKÓŁ W CHRZYPSKU WIELKIM,"Szkolna 34, 64-412 Chrzypsko Wielkie",3014012
szkola,ZESPÓŁ OŚWIATOWY W BOROWIU,"Aleksandra Sasimowskiego 3, 08-412 Borowie",1403032
szkola,ZESPÓŁ KSZTAŁCENIA I WYCHOWANIA W LUBLEWIE GDAŃSKIM,"Szkolna 5, 83-050 Lublewo Gdańskie",2204032
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 4 W KRAPKOWICACH,"Żeromskiego 34, 47-303 Krapkowice",1605024
szkola,ZESPÓŁ SZKÓŁ W GŁOSKOWIE,"Szkolna 6, 08-412 Głosków",1403032
szkola,ZESPÓŁ SZKÓŁ ZAWODOWYCH NR 1 IM. MARII SKŁODOWSKIEJ-CURIE W BRZEGU,"Słowiańska 18, 49-300 Brzeg",1601011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 13,"Muzealny 20, 50-035 Wrocław-Stare Miasto",0264059
szkola,ZESPÓŁ SZKOŁY I PRZEDSZKOLI W ZAWICHOŚCIE,"Szkolna 15, 27-630 Zawichost",2609094
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 2 W SARNOWIE,"Szkolna 5, 42-512 Sarnów",2401062
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W GRZEGORZEWIE,"Szkolna 23, 62-640 Grzegorzew",3009052
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 18,"Poznańska 26, 53-630 Wrocław-Stare Miasto",0264059
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY NR 1 W WIŚLE,"Kopydło 74, 43-460 Wisła",2403031
szkola,ZESPÓŁ SZKOŁY I PRZEDSZKOLA W CZYŻOWIE SZLACHECKIM,"Czyżów Szlachecki 2, 27-630 Czyżów Szlachecki",2609095
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁUKCIE,"Warszawska 17, 14-105 Łukta",2815042
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH W KRUSZWICY,"Jana Kasprowicza 7, 88-150 Kruszwica",0407064
szkola,ZESPÓŁ SZKÓŁ W ZADZIMIU,"Szkolna 20, 99-232 Zadzim",1011062
szkola,ZESPÓŁ SZKÓŁ IM. ŚW. JADWIGI ŚLĄSKIEJ,"Dworcowa 10, 59-610 Wleń",0212054
szkola,ZESPÓŁ SZKÓŁ NR 2 IM.ŚW.JADWIGI KRÓLOWEJ W ANDRYCHOWIE,"Stefana Batorego 9, 34-120 Andrychów",1218014
szkola,ZESPÓŁ SZKÓŁ IM.KOMISJI EDUKACJI NARODOWEJ W KALWARII ZEBRZYDOWSKIEJ,"Jana Pawła II 3, 34-130 Kalwaria Zebrzydowska",1218034
szkola,ZESPÓŁ SZKÓŁ CENTRUM KSZTAŁCENIA USTAWICZNEGO IM.ŚW. JANA PAWŁA II W RADOCZY,"Dworska 8, 34-100 Radocza",1218082
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W NOWYM DWORZE MAZOWIECKIM,"Młodzieżowa 1, 05-101 Nowy Dwór Mazowiecki",1414011
szkola,ZESPÓŁ SZKÓŁ SPECJALNYCH W WADOWICACH,"Juliusza Słowackiego 4, 34-100 Wadowice",1218094
szkola,ZESPÓŁ PLACÓWEK RESOCJALIZACYJNO-WYCHOWAWCZYCH W SKARŻYSKU-KAMIENNEJ,"Legionów 131, 26-110 Skarżysko-Kamienna",2610011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 3 W NOWYM DWORZE MAZOWIECKIM,"Szkolna 3, 05-102 Nowy Dwór Mazowiecki",1414011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1,"Zielony Rynek 2, 05-825 Grodzisk Mazowiecki",1405044
szkola,ZESPÓŁ PLACÓWEK OŚWIATOWYCH NR 3 W MŁAWIE,"Ordona 14, 06-500 Mława",1413011
szkola,ZESPÓŁ SZKOLNO PRZEDSZKOLNY W KOSZARAWIE,"Koszarawa 434, 34-332 Koszarawa",2417052
szkola,ZESPÓŁ SZKÓŁ W SOLCU-ZDROJU,"1 Maja 18, 28-131 Solec-Zdrój",2601052
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W BUKOWCU,"Szkolna 3, 95-006 Bukowiec",1006032
szkola,ZESPÓŁ SZKÓŁ EKONOMICZNYCH IM. STEFANA ŻEROMSKIEGO W LEGNICY,"Chojnowska 100, 59-220 Legnica",0262011
szkola,ZESPÓŁ SZKÓŁ TECHNICZNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO IM. STANISŁAWA PŁOSKIEGO W CIECHANOWIE,"Mikołaja Kopernika 7, 06-400 Ciechanów",1402011
szkola,ZESPÓŁ PRZEDSZKOLNO - SZKOLNY W ROSTARZEWIE,"Rakoniewicka 23, 62-068 Rostarzewo",3005045
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W JABŁONNIE,"Nowotomyska 9, 64-308 Jabłonna",3005045
szkola,ZESPÓŁ PRZEDSZKOLNO - SZKOLNY ŁĄKIE,"Łąkie 81, 62-068 Łąkie",3005045
szkola,ZESPÓŁ PRZEDSZKOLNO - SZKOLNY RUCHOCICE,"Poznańska 23, 62-073 Ruchocice",3005045
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI W BRZESZCZACH,"Szkolna 6, 32-620 Brzeszcze",1213024
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 5 W BRZESZCZACH,"A. Mickiewicza 3, 32-620 Brzeszcze",1213024
szkola,ZESPÓŁ SZKÓŁ NR 1 IM. GEN. JÓZEFA BEMA W CIECHANOWIE,"Powstańców Warszawskich 24, 06-400 Ciechanów",1402011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 6 W JAWISZOWICACH,"Kusocińskiego 1, 32-626 Jawiszowice",1213025
szkola,ZESPÓŁ SZKÓŁ NR 2 IM. NOBLISTÓW POLSKICH W CHOSZCZNIE,"Polna 5, 73-200 Choszczno",3202024
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W WIĘCKOWICACH,"Gromadzka 7, 62-070 Więckowice",3021052
szkola,ZESPÓŁ PLACÓWEK OŚWIATOWYCH W JAWORZNI,"Jaworznia 93, 26-065 Jaworznia",2604145
szkola,ZESPÓŁ SZKÓŁ PUBLICZNYCH W ŁĘKNICY,"Wojska Polskiego 19A, 68-208 Łęknica",0811011
szkola,ZESPÓŁ SZKOLNO- PRZEDSZKOLNY W DZIEWINIE,"Dziewin 231, 32-708 Dziewin",1201032
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŚWINIARACH,"Świniary 174, 32-709 Świniary",1201032
